id,date,user,pc,activity
{K9S3-D9LS33CJ-8715FSIC},10/21/2010 00:22:06,AAM0658,PC-9923,Connect
{R5T4-K9IN57VQ-3316ULRN},10/21/2010 00:38:02,AAM0658,PC-9923,Disconnect
{B1K2-L6TJ01DP-1156PAZE},10/21/2010 00:44:55,AAM0658,PC-9923,Connect
{G1K3-A7RJ76HE-1102PRZE},10/21/2010 01:03:23,AAM0658,PC-9923,Disconnect
{Y0Z3-D7MK17DG-9916IXDE},10/21/2010 01:08:13,AAM0658,PC-9923,Connect
{V5K4-B2PS79AF-7599SFAP},10/21/2010 01:18:53,AAM0658,PC-9923,Disconnect
{H1L0-X7RH83FI-5967VUQY},10/23/2010 06:18:48,AAM0658,PC-9923,Connect
{W7C0-G1SW41KB-1991BUTL},10/23/2010 06:26:48,AAM0658,PC-9923,Disconnect
{G0R8-K2YH87AK-9571JLRM},10/27/2010 04:37:05,AAM0658,PC-9923,Connect
{W0X8-S1EX02AJ-2043CZDR},10/27/2010 04:59:04,AAM0658,PC-9923,Disconnect
{S1J0-Z2ZX87IX-2607ZUXY},10/29/2010 01:30:10,AAM0658,PC-9923,Connect
{V6D8-B3FZ26HT-3583PJAI},10/29/2010 05:00:19,AAM0658,PC-9923,Disconnect
{U4Q1-R8JZ85OJ-7363YIPP},11/02/2010 02:40:52,AAM0658,PC-9923,Connect
