id,date,user,pc,activity
{D6U0-S8PP45WQ-2670HHAA},01/04/2010 09:14:00,AAM0658,PC-9923,Logon
{L7T0-O8SG89IO-8831RXJZ},01/04/2010 21:19:00,AAM0658,PC-9923,Logoff
{O5E8-I8TD55VX-1793UOBV},01/05/2010 09:21:00,AAM0658,PC-9923,Logon
{P8Y4-S3NR31ZM-2748TRCK},01/05/2010 21:15:00,AAM0658,PC-9923,Logoff
{O7M3-U7HP52RB-8417ZOTI},01/06/2010 09:05:00,AAM0658,PC-9923,Logon
{S1R6-Y6XJ89GQ-7971HEHX},01/06/2010 21:11:00,AAM0658,PC-9923,Logoff
{W8O6-K1HG46YB-6857YLLP},01/07/2010 09:16:00,AAM0658,PC-9923,Logon
{N8R9-Y3JJ75ED-6045CSDT},01/07/2010 21:09:00,AAM0658,PC-9923,Logoff
{W8W9-Q1HG25QH-0179YGHM},01/08/2010 09:16:00,AAM0658,PC-9923,Logon
{B0X3-J9LJ51BE-1089OBVA},01/08/2010 21:15:00,AAM0658,PC-9923,Logoff
{E3Q7-I8GB64BG-8369EZEB},01/11/2010 09:08:00,AAM0658,PC-9923,Logon
{L2G1-O8NK97YV-0021PMBC},01/11/2010 21:17:00,AAM0658,PC-9923,Logoff
{A0Z1-U6SX99IX-1911BLWP},01/12/2010 09:13:00,AAM0658,PC-9923,Logon
{F2F0-X5OL97BA-6013OKUI},01/12/2010 21:18:00,AAM0658,PC-9923,Logoff
{T7C4-L4ZN42JE-9467HQTL},01/13/2010 09:19:00,AAM0658,PC-9923,Logon
{E2J8-V8FX49DL-1348USEL},01/13/2010 21:10:00,AAM0658,PC-9923,Logoff
{Q6V3-O2SF39LF-0623NIPO},01/14/2010 09:14:00,AAM0658,PC-9923,Logon
{M9Q3-K5FI04WF-3189YBND},01/14/2010 21:27:00,AAM0658,PC-9923,Logoff
{W4X0-T2SR83GR-5320FERR},01/15/2010 09:20:00,AAM0658,PC-9923,Logon
{F6E9-R9BM68EC-4728IWIL},01/15/2010 21:12:00,AAM0658,PC-9923,Logoff
{J8D7-K7BG04NA-8460DLBV},01/18/2010 09:20:00,AAM0658,PC-9923,Logon
{M2S0-A6CI57AT-1963IPBW},01/18/2010 21:19:00,AAM0658,PC-9923,Logoff
{Q0C9-G9YL98FL-6504CSTV},01/19/2010 09:07:00,AAM0658,PC-9923,Logon
{H3X1-K5BM10QC-8599HMSM},01/19/2010 21:22:00,AAM0658,PC-9923,Logoff
{H2B8-A4AY07BJ-0934FWFT},01/20/2010 09:20:00,AAM0658,PC-9923,Logon
{T7Q8-O4NX61TP-2371AWAQ},01/20/2010 21:25:00,AAM0658,PC-9923,Logoff
{R9F2-F7LF70AR-4892XBPU},01/21/2010 09:16:00,AAM0658,PC-9923,Logon
{C4Z6-A9BM43KX-9506NODG},01/21/2010 21:14:00,AAM0658,PC-9923,Logoff
{V0I9-Q9OW59XR-5825AYSJ},01/22/2010 09:00:00,AAM0658,PC-9923,Logon
{X3Q5-V9UK51AI-5716GLDY},01/22/2010 21:24:00,AAM0658,PC-9923,Logoff
{E0S5-V0AQ57JU-6403ROUQ},01/25/2010 09:12:00,AAM0658,PC-9923,Logon
{F3K4-B2DR98UJ-4336RCCT},01/25/2010 21:25:00,AAM0658,PC-9923,Logoff
{Y0V5-L6DH47TP-6135YHPW},01/26/2010 09:17:00,AAM0658,PC-9923,Logon
{U7F8-H5NC70ZZ-1130ACEP},01/26/2010 21:30:00,AAM0658,PC-9923,Logoff
{N8Z7-D5NA73JG-7572TLBG},01/27/2010 09:04:00,AAM0658,PC-9923,Logon
{A4C4-U0QX16AD-4416EEKO},01/27/2010 21:18:00,AAM0658,PC-9923,Logoff
{Y8O3-S7EN51FX-0187WLAG},01/28/2010 09:17:00,AAM0658,PC-9923,Logon
{N9Q6-V2OJ30PT-2542ZOXU},01/28/2010 21:11:00,AAM0658,PC-9923,Logoff
{Z8W3-S0PL84MD-2775AFNK},01/29/2010 09:16:00,AAM0658,PC-9923,Logon
{Z6B5-H7SC58SP-8778LDMC},01/29/2010 21:14:00,AAM0658,PC-9923,Logoff
{A1Q5-C4XB00OC-2628IWEC},02/01/2010 09:16:00,AAM0658,PC-9923,Logon
{Y3L7-Q6FE95VP-4179JHIO},02/01/2010 21:20:00,AAM0658,PC-9923,Logoff
{M5J8-R5HG94LY-9962ESDD},02/02/2010 09:16:00,AAM0658,PC-9923,Logon
