id,date,user,pc,activity
{E2A9-X6QC95BA-4386XBGY},01/04/2010 08:56:00,AAF0535,PC-2408,Logon
{D2S9-Q6TF32IF-9843ZWDL},01/04/2010 17:05:00,AAF0535,PC-2408,Logoff
{W5U6-F1PB76AD-5144YTGR},01/05/2010 09:02:00,AAF0535,PC-2408,Logon
{T9T4-R1DE07OH-8842OMNW},01/05/2010 16:57:00,AAF0535,PC-2408,Logoff
{M5U2-Z6IY99QE-9767HVEM},01/06/2010 08:48:00,AAF0535,PC-2408,Logon
{N0B3-T6XZ06SX-2681FAHO},01/06/2010 17:08:00,AAF0535,PC-2408,Logoff
{S7T5-C2YU72NN-9287ZULA},01/07/2010 09:08:00,AAF0535,PC-2408,Logon
{I9Z7-G7AL19LA-4624HXNH},01/07/2010 16:57:00,AAF0535,PC-2408,Logoff
{F2Q7-C7NC97AI-1318BEDD},01/08/2010 09:06:00,AAF0535,PC-2408,Logon
{O8H7-C7JW73JG-8006PFJQ},01/08/2010 17:00:00,AAF0535,PC-2408,Logoff
{O8M9-L3DN65TW-6863BUPR},01/11/2010 08:49:00,AAF0535,PC-2408,Logon
{H4R8-V7ZI82LD-9146EXXD},01/11/2010 16:57:00,AAF0535,PC-2408,Logoff
{K1P2-O3IO81HZ-8411VLZV},01/12/2010 08:59:00,AAF0535,PC-2408,Logon
{M3Q1-I2LK81SD-3731UQDV},01/12/2010 17:15:00,AAF0535,PC-2408,Logoff
{F2E4-Q8HP18AL-6791TDWI},01/13/2010 09:06:00,AAF0535,PC-2408,Logon
{O7X4-P7BH46OY-2521CGME},01/13/2010 16:56:00,AAF0535,PC-2408,Logoff
{P8K7-W2MJ46SD-3778HBKN},01/14/2010 08:53:00,AAF0535,PC-2408,Logon
{J7A1-F1IP31SJ-4426EGMD},01/14/2010 17:06:00,AAF0535,PC-2408,Logoff
{C8Q3-L1VJ95NY-7848BDKG},01/15/2010 09:10:00,AAF0535,PC-2408,Logon
{T2A2-L4SO28GO-8719ZPJY},01/15/2010 16:59:00,AAF0535,PC-2408,Logoff
{I1T5-Y6GE55CB-6155ZXSC},01/18/2010 09:04:00,AAF0535,PC-2408,Logon
{D4S0-B6EG30VF-8841PHRR},01/18/2010 17:07:00,AAF0535,PC-2408,Logoff
{Q8O8-W2IH32AP-3159YHJO},01/19/2010 08:46:00,AAF0535,PC-2408,Logon
{D9I0-W3LJ54YG-7405WFRC},01/19/2010 17:08:00,AAF0535,PC-2408,Logoff
{U1P8-R1NS24WS-3092MNEP},01/20/2010 09:08:00,AAF0535,PC-2408,Logon
{X5I0-V0HW87AH-0125WRLI},01/20/2010 17:13:00,AAF0535,PC-2408,Logoff
{B6P2-I2OK92SB-0431ADFM},01/21/2010 09:03:00,AAF0535,PC-2408,Logon
{E2L7-M5ZC64DA-1898FBQS},01/21/2010 16:50:00,AAF0535,PC-2408,Logoff
{D5F5-I2DF07EG-2265LQZB},01/22/2010 08:55:00,AAF0535,PC-2408,Logon
{Z4Q7-K0MN91JA-1335QARO},01/22/2010 17:04:00,AAF0535,PC-2408,Logoff
{T4W1-E0EN55TH-2534DQOL},01/25/2010 08:50:00,AAF0535,PC-2408,Logon
{T0W0-C2BE20IB-0995JOQJ},01/25/2010 17:07:00,AAF0535,PC-2408,Logoff
{I6C9-B1WF91GQ-5121MBHD},01/26/2010 08:58:00,AAF0535,PC-2408,Logon
{Z7V8-A9YB44QH-6134KYIM},01/26/2010 17:12:00,AAF0535,PC-2408,Logoff
{G9I7-S5JO44QH-7518CLTP},01/27/2010 08:59:00,AAF0535,PC-2408,Logon
{U6M8-K7KN63YZ-5654OHCA},01/27/2010 17:14:00,AAF0535,PC-2408,Logoff
{Y5Y4-X8II91CT-2406QLBF},01/28/2010 09:06:00,AAF0535,PC-2408,Logon
{V2A3-I5GV25YK-2636KHWP},01/28/2010 16:56:00,AAF0535,PC-2408,Logoff
{K1J5-B5XK40UP-8827LNQD},01/29/2010 09:05:00,AAF0535,PC-2408,Logon
{C0C4-C1XW17LC-8731XVZR},01/29/2010 16:53:00,AAF0535,PC-2408,Logoff
{H5N7-U0HN08GE-5478YFSD},02/01/2010 09:07:00,AAF0535,PC-2408,Logon
{V8Q0-P6MW71NS-4803CSNQ},02/01/2010 16:56:00,AAF0535,PC-2408,Logoff
{T5M3-Z8HC65AE-5656SUTP},02/02/2010 09:02:00,AAF0535,PC-2408,Logon
{V7W4-A5MK68PD-2414IUWP},02/02/2010 16:57:00,AAF0535,PC-2408,Logoff
{V7U8-D9RE35SH-1777DUQD},02/03/2010 09:10:00,AAF0535,PC-2408,Logon
{B0S1-W5BA28SD-2975URAR},02/03/2010 17:00:00,AAF0535,PC-2408,Logoff
{A8B7-K6MU05DS-3396TBXW},02/04/2010 09:02:00,AAF0535,PC-2408,Logon
{R0G0-F5HU80HQ-0256VNOZ},02/04/2010 16:49:00,AAF0535,PC-2408,Logoff
{I4F8-B7PQ96SB-1543CZBV},02/05/2010 08:49:00,AAF0535,PC-2408,Logon
{Y4D7-X5SM76AJ-9623KLPE},02/05/2010 16:54:00,AAF0535,PC-2408,Logoff
{V7C9-J5UB32YZ-5261BYQW},02/08/2010 08:54:00,AAF0535,PC-2408,Logon
{G9D3-O4VS83FU-4437UBOD},02/08/2010 17:00:00,AAF0535,PC-2408,Logoff
{X4U0-S6TC29JZ-0706GZBU},02/09/2010 09:03:00,AAF0535,PC-2408,Logon
{S7C4-O5MT67VV-1391TFYR},02/09/2010 16:58:00,AAF0535,PC-2408,Logoff
{J6E2-O5LF96EW-3315ESPZ},02/10/2010 09:07:00,AAF0535,PC-2408,Logon
{F3H3-Z6PD96MG-6838UFKR},02/10/2010 16:51:00,AAF0535,PC-2408,Logoff
{I9V3-L6EX49KC-8184XJIN},02/11/2010 08:48:00,AAF0535,PC-2408,Logon
{C1N1-C0EF22GX-9800DUUT},02/11/2010 16:53:00,AAF0535,PC-2408,Logoff
{T0N4-K5DA56EA-0118WNNV},02/12/2010 09:04:00,AAF0535,PC-2408,Logon
{F0D8-A5KO69ZX-1446KYCV},02/12/2010 16:49:00,AAF0535,PC-2408,Logoff
{W4D6-A5RJ32IK-6914LEWB},02/15/2010 08:54:00,AAF0535,PC-2408,Logon
{K1M9-P1OT48GV-0947PLVW},02/15/2010 17:10:00,AAF0535,PC-2408,Logoff
{Y0H3-Y7WQ99EH-3389DVAM},02/16/2010 09:03:00,AAF0535,PC-2408,Logon
{D5Z0-J7KO52HT-5746LCIG},02/16/2010 17:00:00,AAF0535,PC-2408,Logoff
{A3Z1-N2OQ32OP-2509MRKK},02/17/2010 08:47:00,AAF0535,PC-2408,Logon
{D5A8-V7UH26CU-5709STEB},02/17/2010 17:07:00,AAF0535,PC-2408,Logoff
{G5J6-E9GS99OA-7863ZGFU},02/18/2010 09:06:00,AAF0535,PC-2408,Logon
{L0L6-A0GK21WD-6004ETSQ},02/18/2010 17:08:00,AAF0535,PC-2408,Logoff
{C3E0-E4WB17DZ-2259ESKL},02/19/2010 09:00:00,AAF0535,PC-2408,Logon
{J5I6-O9IM46XC-1675BDPA},02/19/2010 17:15:00,AAF0535,PC-2408,Logoff
{J0W9-M5SX65BP-3692VKCU},02/22/2010 09:08:00,AAF0535,PC-2408,Logon
{L4H8-S7XA22MD-4655KSXS},02/22/2010 16:51:00,AAF0535,PC-2408,Logoff
{H8G0-F8UE67SV-5387RPMA},02/23/2010 09:00:00,AAF0535,PC-2408,Logon
{U4G9-A8DK85LK-7173QJTE},02/23/2010 17:07:00,AAF0535,PC-2408,Logoff
{K8G8-E8VU34EB-2243QQDW},02/24/2010 09:10:00,AAF0535,PC-2408,Logon
{X4U6-P3ZB83II-9370VICS},02/24/2010 17:00:00,AAF0535,PC-2408,Logoff
{I6X4-I0QD83UC-2689USXV},02/25/2010 09:02:00,AAF0535,PC-2408,Logon
{U8N0-D4OG96PS-3945CGZS},02/25/2010 16:55:00,AAF0535,PC-2408,Logoff
{C1J9-S7DJ58BP-8516OAUP},02/26/2010 08:46:00,AAF0535,PC-2408,Logon
{H4V8-B9BY92DH-6249VVGR},02/26/2010 17:02:00,AAF0535,PC-2408,Logoff
{U7T9-M4XH95EH-2324DDCE},03/01/2010 08:57:00,AAF0535,PC-2408,Logon
{H8G0-B2RD19EI-9460MYAO},03/01/2010 17:11:00,AAF0535,PC-2408,Logoff
